(g,13.161243030610622)
(o,11.088976598039846)
(u,9.353066786592406)
(y,8.121941653755151)
(e,13.172844021129688)
(u,17.176533393296204)
(w,14.740246000144277)
(s,15.938893364978075)
(w,10.370123000072137)
(k,6.912570943850135)
(e,15.586422010564844)
(m,18.94425796305368)
(a,9.897134342579209)
(q,9.837227850937385)
(q,12.418613925468692)
(q,6.709306962734346)
(a,16.948567171289604)
(m,18.97212898152684)
(o,6.044488299019923)
(m,21.486064490763418)
(e,18.793211005282423)
(u,17.088266696648102)
(w,15.185061500036069)
(a,10.974283585644802)
(a,7.987141792822401)
(o,10.522244149509962)
(k,14.456285471925067)
(e,11.396605502641211)
(a,12.4935708964112)
(i,12.194124552992333)
(m,14.243032245381709)
(i,15.597062276496167)
(i,12.798531138248084)
(q,15.854653481367173)
(a,17.7467854482056)
(a,19.3733927241028)
(q,15.427326740683586)
(e,7.698302751320606)
(i,7.399265569124042)
(q,13.213663370341793)
(e,4.849151375660303)
